Year,Student,Parent,Researcher,Professor,Developer,Manager
2007.5,1,0.0,0.0,0.0,0.0,0.0
2008.0,1,0.0,0.0,0.0,0.0,0.0
2008.5,1,0.0,0.0,0.0,0.0,0.0
2009.0,1,0.0,0.0,0.0,0.0,0.0
2009.5,1,0.0,0.0,0.0,0.0,0.0
2010.0,1,0.0,0.0,0.0,0.0,0.0
2010.5,1,0.0,0.0,0.0,0.0,0.0
2011.0,1,0.0,0.0,0.0,0.0,0.0
2011.5,1,0.0,0.0,0.0,0.0,0.0
2012.0,1,0.0,0.0,0.0,0.0,0.0
2012.5,1,0.0,0.0,0.0,0.0,0.0
2013.2,1,0.0,0.0,0.0,0.0,0.0
2013.21,0,1.0,0.0,0.0,0.0,0.0
2013.49,0,1.0,0.0,0.0,0.0,0.0
2013.5,0,0.1,0.9,0.0,0.0,0.0
2014.0,0,0.1,0.9,0.0,0.0,0.0
2014.5,0,0.1,0.9,0.0,0.0,0.0
2015.0,0,0.1,0.9,0.0,0.0,0.0
2015.5,0,0.1,0.9,0.0,0.0,0.0
2016.0,0,0.1,0.9,0.0,0.0,0.0
2016.5,0,0.1,0.9,0.0,0.0,0.0
2016.95,0,0.1,0.9,0.0,0.0,0.0
2016.96,0,1.0,0.0,0.0,0.0,0.0
2017.0,0,1.0,0.0,0.0,0.0,0.0
2017.19,0,1.0,0.0,0.0,0.0,0.0
2017.2,0,0.2,0.16,0.0,0.64,0.0
2017.5,0,0.2,0.16,0.0,0.64,0.0
2018.0,0,0.2,0.16,0.0,0.64,0.0
2018.5,0,0.2,0.16,0.0,0.64,0.0
2018.6,0,0.2,0.0,0.7200000000000001,0.040000000000000015,0.040000000000000015
2019.0,0,0.2,0.0,0.7200000000000001,0.040000000000000015,0.040000000000000015
2019.5,0,0.2,0.0,0.7200000000000001,0.040000000000000015,0.040000000000000015
2019.6,0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666
2020.0,0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666
2020.1,0,0.85,0.05,0.0,0.05,0.05
2020.5,0,0.85,0.05,0.0,0.05,0.05
2020.7,0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666
