Year,Surveys/data viz,Exoplanets,Stellar inference,Cosmology
2007.5,1.0,0.0,0.0,0.0
2008.0,1.0,0.0,0.0,0.0
2008.5,1.0,0.0,0.0,0.0
2009.0,0.0,1.0,0.0,0.0
2009.5,0.0,1.0,0.0,0.0
2010.0,0.0,1.0,0.0,0.0
2010.5,0.0,1.0,0.0,0.0
2011.0,0.0,1.0,0.0,0.0
2011.5,0.0,0.9,0.1,0.0
2012.0,0.0,0.85,0.15,0.0
2012.5,0.0,0.8,0.2,0.0
2013.0,0.0,0.8,0.2,0.0
2013.5,0.0,0.8,0.2,0.0
2014.0,0.0,0.75,0.25,0.0
2014.5,0.0,0.75,0.25,0.0
2015.0,0.0,0.75,0.25,0.0
2015.5,0.0,0.75,0.25,0.0
2016.0,0.0,0.75,0.25,0.0
2016.5,0.0,0.75,0.25,0.0
2017.0,0.8,0.05,0.15,0.0
2017.5,0.8,0.05,0.15,0.0
2018.0,0.8,0.05,0.15,0.0
2018.5,0.8,0.05,0.15,0.0
2018.6,0.1,0.35,0.55,0.0
2019.0,0.1,0.35,0.55,0.0
2019.5,0.1,0.35,0.55,0.0
2019.6,0.3,0.02,0.18,0.5
2020.0,0.3,0.02,0.18,0.5
2020.5,0.3,0.02,0.18,0.5
2020.7,0.3,0.02,0.18,0.5
